#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
517bae36c3f249b7261904488361268b	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae		
c53113a17cb01ef4f3eb30378030b5b1	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 bryophila
37a7745b2e6ac0982c39dce9f309ef44	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 
2b55938921dc35816e0e4b70203fa370	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 bryophila
16ee81f188c7c23c3872bf29bde77c7f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 fragi
d5f59e04e10acad6a94ea5e179389644	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	 
9aa249d9381a729d812a5f1930e460a6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Enterobacter	
dda8000050752047c825006c306bf8b2	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	
42062cdd074c41bf15bb2cc9cd2dd1fa	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae		
7c1b6c484eee760b3c57350626d5fdc0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 nitroreducens
1fa1705554f735486c17bc54a1e1fa7b	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Rhizobium	 
87dabb490589bf7a562d1b5e79b58aca	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
b9e67acb1d3c44fcf74c3533a9d1cea6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Phyllobacteriaceae	 Mesorhizobium	
dfd06a4d1fd79e678c0d785634d29ffb	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae		
652047e0626f6836ca0dcc0a2da03e3c	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae		
9ec624fd479b2ca1745b437d14767585	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	 celatum
be5324a38ccc21cb7cae83e4a80ee9e1	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae		
2457d3a95c5d465e4a5c8247fa7b6976	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Bradyrhizobium	 elkanii
4900617ae6c61c89ee76553287c56c34	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Sinobacteraceae	 	 
664b8db6dbd000978187583b0aa38d70	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Streptomycetaceae		
e30d09c7b8a9c1596dc5d1af02aec49f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae		
decc89e3b06c68b848ab06de2c218c19	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 	 	 
d1e3f8fff8fb8d8df5347845cc1d2e32	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Mycobacteriaceae	 Mycobacterium	
e15e02a873c2cc3c2ddf6d8e45c92c54	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 Gaiellaceae	 	 
5b5242bdc4690c6b58f5217583fcbb65	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 	 
eaba411c963feb2763ba240e031ecc6c	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 bryophila
0047bed96dd04b90e0d8e9a1f99e816f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Erwinia	 
90fcbd5e77ada4db7dcc06acfb8ee9d0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Ellin329	 	 	 
5f8dce9527f98823e6d3724eb8f6538d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae		
226501bb09015e3c6b454c7794826382	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Alcaligenaceae		
684b79b9e58e119cc5584d975e9bcf78	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Agrobacterium	 
23081d1ab321761758852f388126baa4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae		
77d22c936560f8e18c9d68392116194e	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 bryophila
b5de1c197f786e5a24301c48422d30f1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae		
5c36f344366888efec07c74b63067b7e	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingobium	 
35a0509a077b22dcf6176c307d24fe01	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae		
3bcdcd4dfef5eff2e258bf7e7bc57ef8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae		
39f3c192ec5bd6b312b84a234b430870	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 bryophila
fb924b3ad78c04110357b14da4ea83e6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 fragi
8027f68955770623d4a65835c8d48c64	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae		
8e1dcba358617dc87ba3c52ab1b9083f	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
0d496f8e7ce213414c3f3bb352b73266	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia	 
6e5c89c5f22e1ee7c3c1307b54116878	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Pseudonocardiaceae	 Amycolatopsis	 thermoflava
29408767bce1dc7b39c94364bfc73bf3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 	 	 
3ae1c4df98e7dfd145cd7ba23e116439	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
0e9a73b2e704aab768e402824e54770d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
8e755d68235ad64ebb119343230ff1eb	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Streptomycetaceae		
7c1bb2fa5186fbaf0ab5baee921b9b2b	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 	 	 
f13b79d1a439a313dc44586ab376b1a6	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 	 	 
4f6412040a700bdc24ae96d8d802d058	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae	 Acidocella	 
0b8b51ff20877cab44cecfae0372a094	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Rhodoplanes	 
5cd3ae4484a3b901258e219ce297957c	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Alicyclobacillaceae	 Alicyclobacillus	 
0ebf58f5eca4eef232bb2932cf262f0e	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 Conexibacteraceae	 Conexibacter	 
2ae47b0a7a524878d945f33ce3a2337a	Bacteria	 Acidobacteria	 Acidobacteriia	 Acidobacteriales	 Acidobacteriaceae		
85ed9092361e2ea86970443b76134f0c	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardiaceae		
444a211bd5cb8bcbf6bd29f57f552286	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
9eacfa775834fc2b5f77531d217d766b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Sinobacteraceae	 	 
27611026a24e2354f7bbdebd8d7d80bc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 stutzeri
1e45716b4ce50c56869c280be9b28798	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae		
16674cf8f9bef2d72ad846197b7f9f0d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	 fragi
af06a953600132ad3397b36154d0275b	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 Gaiellaceae	 	 
07b8a0440748c9ff2026184b04caf233	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae		
2071b9817bec4249b9740555be182cb3	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae		
5350feebf3b3c71fb155f7002f54c794	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Streptomycetaceae	 Streptomyces	
8170867ec0b84b57a10a4c40134177c6	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae	 Pseudomonas	
5e12a4fc8c61234e4b95162b423105d7	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 Gaiellaceae	 	 
24c24755bf5365f67a7c31a9c901af00	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 	 	 
d2bb917416317cdeb103d1f744760d6c	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Pandoraea	 
