#NAME	105_BS	A479_R	A479_RS	B065S_R	B065S_RS	B067H_R	B067H_RS	B074S_R	B074S_RS	B076BH_R	B076BH_RS	B118H_R	B118H_RS	B124H_R	B124H_RS	B456_R	B456_RS	GY_R	GY_RS	H424_R	H424_RS	HB_R	HB_RS	K474_R	K474_RS	NHB_R	NHB_RS	XM_BS	ZJ_BS
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__;__	0	215	0	7161	281	11993	273	2116	65	12506	244	5610	121	9882	171	15	198	0	22	48	111	1210	366	170	381	0	914	100	4
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__bryophila	0	440	1124	86	589	1667	3490	9205	3323	39	743	7245	9568	21	759	755	3633	9600	3440	8180	4358	1352	538	1670	2336	1439	5797	63	146
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__	88	580	92	45	1574	0	9018	1017	238	39	2421	74	1926	972	5760	0	1638	52	365	231	2143	93	1149	246	1636	0	1905	12	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__fragi	0	64	0	4839	0	7486	0	1190	0	7557	70	3032	75	4339	0	0	0	0	482	0	0	0	507	80	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__	0	479	536	0	993	2713	0	0	0	809	1184	2181	1264	5652	868	312	170	0	0	56	0	663	97	162	382	0	496	210	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter;__	0	950	67	0	1835	0	0	2970	0	0	430	0	694	1182	3259	405	109	0	0	21	0	203	6445	285	0	0	72	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;__	2128	20	0	9087	0	0	1342	2014	1709	0	0	13	0	0	0	0	0	1491	1161	0	1559	0	0	0	0	3654	0	0	33
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	0	628	3625	0	264	0	150	0	508	141	270	56	191	242	321	4159	1457	1265	683	3019	624	2539	364	142	257	265	73	34	552
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__nitroreducens	0	12807	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	96	0	0	0	407	0	46	0	214	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;s__	0	914	2358	0	72	0	223	0	0	0	0	117	0	0	45	3071	1968	988	0	1941	2204	16	54	79	691	0	412	0	0
