#NAME	105-BS	A479-R	A479-RS	B065S-R	B065S-RS	B067H-R	B067H-RS	B074S-R	B074S-RS	B076BH-R	B076BH-RS	B118H-R	B118H-RS	B124H-R	B124H-RS	B456-R	B456-RS	GY-R	GY-RS	H424-R	H424-RS	HB-R	HB-RS	K474-R	K474-RS	NHB-R	NHB-RS	XM-BS	ZJ-BS
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__	0.0	215.0	0.0	7161.0	281.0	11993.0	273.0	2116.0	65.0	12506.0	244.0	5610.0	121.0	9882.0	171.0	15.0	198.0	0.0	22.0	48.0	111.0	1210.0	366.0	170.0	381.0	0.0	914.0	100.0	4.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	117.0	1218.0	1446.0	1164.0	2654.0	1667.0	12842.0	10491.0	3830.0	78.0	3827.0	7491.0	11959.0	993.0	6692.0	1054.0	6938.0	9795.0	4036.0	8521.0	7562.0	1445.0	1726.0	2079.0	4452.0	4245.0	8930.0	127.0	146.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	45.0	17978.0	109.0	4839.0	1362.0	7678.0	288.0	2824.0	3579.0	8711.0	2118.0	4534.0	612.0	4525.0	973.0	100.0	81.0	133.0	2405.0	162.0	39.0	2142.0	7642.0	836.0	110.0	986.0	1362.0	52.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium	2128.0	541.0	607.0	9087.0	1794.0	4339.0	1342.0	2014.0	1709.0	2321.0	1636.0	3773.0	2107.0	7996.0	1287.0	340.0	366.0	1491.0	1161.0	82.0	1559.0	720.0	97.0	207.0	687.0	3654.0	1350.0	236.0	33.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter	0.0	950.0	67.0	0.0	1835.0	0.0	0.0	2970.0	0.0	0.0	430.0	0.0	694.0	1182.0	3259.0	405.0	109.0	0.0	0.0	21.0	0.0	203.0	6472.0	285.0	0.0	0.0	72.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__	0.0	628.0	3625.0	0.0	264.0	0.0	150.0	0.0	508.0	141.0	270.0	56.0	191.0	242.0	321.0	4159.0	1457.0	1265.0	683.0	3019.0	624.0	2539.0	364.0	142.0	257.0	265.0	73.0	34.0	552.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium	0.0	1077.0	2367.0	0.0	72.0	0.0	223.0	0.0	243.0	0.0	0.0	117.0	5.0	0.0	45.0	3071.0	2001.0	988.0	51.0	1950.0	2227.0	386.0	91.0	117.0	691.0	112.0	412.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;__;__	3468.0	9.0	67.0	161.0	0.0	641.0	0.0	130.0	3109.0	0.0	26.0	0.0	65.0	1413.0	0.0	0.0	36.0	539.0	4061.0	843.0	47.0	0.0	23.0	2.0	79.0	10018.0	583.0	3488.0	853.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium	94.0	111.0	6690.0	0.0	0.0	0.0	76.0	0.0	259.0	0.0	0.0	0.0	95.0	0.0	0.0	53.0	2959.0	75.0	169.0	1076.0	302.0	0.0	95.0	66.0	386.0	40.0	136.0	763.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;__	59.0	25.0	56.0	0.0	99.0	0.0	625.0	0.0	1335.0	442.0	337.0	879.0	0.0	0.0	0.0	12154.0	0.0	13.0	688.0	139.0	0.0	170.0	2.0	28.0	136.0	0.0	0.0	0.0	350.0
